Group 1,Motherwell North,Motherwell North of Addo Rd,Motherwell NU1 -12,Tjoksville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 2,7de Laan,Aspen Heights,Booysens Park,Chatty,Ext 21 -34,Heath Park (Above Spar and including PE College),Jacksonville,Khayamnandi,Kleinskool,Kwanoxolo,Palm Ridge,San Soucci,,,,,,,,,,,,,,,,,,,,,,,,,
Group 3,Arcadia,Bethelsdorp Village,Buffelsfontein Old Age Home,Buffelsfontein Rd,Charlo,Chatty,Circular Drive,Cleary Estate,Cleary Park,Ext 28 (St. Elizabeth Street area),Fairview,Greenshields Park,Heath Park (Bethelsdorp Side and around PE College),Heugh Rd  6th Ave to William Moffett,Hillside,Hillside,Kleinskool,Mangold Park (Section),Moffett,Mount Pleasant,NMMU (Vista),Overbaakens,Salsoneville,Salt Lake,Sanctor,Springfield,Walmer 6th Ave to William,Walmer Downs,West End,William Moffett,Windvogel,,,,,,
Group 4,Gerald Smith,Kwanobuhle,"Rocklands lines S, SE, SW",Rosedale,Strelitzia Park Extention,Tambo,Thomas Gamble,Van Estate (section),Winterhoek Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 5,EP Command,Forest Hill,Humewood,South End,Southdene,Summerstrand up to Marine Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 6,Albany Rd Area,Central Area Russell Rd to Albany Rd,City Centre Whites Rd to Russell Rd,Gelvandale (closer to Gail Rd),Govan Mbeki to City to Albany,Helenvale,Malabar,Malabar Ext 6,Richmond Hill Area,Russel Road Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 7,Kulati,Kwazakhele,Matomela,New Brighton,Zwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 8,Ben Kamma,Beverley Grove,Bramhope,Brickmakerskloof,Bridgemeade,Brymore,Central Brickmakerskloof to Russel Rd,Francis Evatt Park,Glenroy,Hunters Retreat,Kabega Park,Kunene Park,Morningside  Opal Rd towards Hunters Side,Park Drive Area,Rowallan Park,Sherwood,St Georges Park (exclude Hospitals),Van der Stel,Vergelegen,Walker Drive,Westbourne Oval Area,Willow Glen,,,,,,,,,,,,,,,
Group 9,Adcockvale Area,Adcockvale Ext,Burt Drive Area,Cape Rd Area Greenacres,Cotswold Area,Fairbridge Heights,Fernglen,Framesby,Framesby Ext,Greenacres Area,Holland Park,Jansendal,Kempston Rd Area,Korsten,Levyvale,Lower Central,Market Square,Morningside from Opal Rd towards Makro,Mosel,Newton Park Area,Parsonshill Area,Penford,Perridgevale (section),Schauder Area,Schauderville Area,Scheepershoogte,Section of Kabega Park,Section of Linton Grange,Section of Westering,Steytler Township,Sunridge Park,Taybank,Uitenhage Central,Van Riebeeck Hoogte,Vikingvale,West Hill,Winterhoek Park
Group 10,Edgar Street Area,Glendenningvale,Ibhayi,Kensington Area,Kensington Harrower Rd to Diaz Rd,Kwaford,Kwazakhele,Masangwanaville,Millard Grange,Mount Croix Area (section),New Brighton,North End Area,Parsonshill Area,Perridgevale (section),Red Location,Sydenham Area,York Road,,,,,,,,,,,,,,,,,,,,
Group 11,Albany Rd Area,Central Area from Albany Rd towards Mount Rd,College Drive,Eastborne Road,Essexvale,Fiveways,Koyana Redhouse Area,Kwadwesi,Kwamagxaki,Linkside,Mgengo Street Area,Mill Park,Mount Croix Area (section),Park Drive,Redhouse,Richmond Hill Area,Salisbury Park,Soweto on Sea,Stanley Street Area,,,,,,,,,,,,,,,,,,
Group 12,Algoa Park,Cradock Place,Despatch,Despatch Industrial,Gelvan Park,Glen Hurd,Mowbray Street,Newton Park 1st Ave to 5th Ave,Parkside,Pickering Park,Section of Gelvandale (close to Gelvan Park),Springdale,Young Park,,,,,,,,,,,,,,,,,,,,,,,,
Group 13,Arlington,Bushby Park,Deer Park,Fairview,Kragga Kamma,Lorraine,Seaview,Section of Mangold,Section of Overbaakens,Theescombe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 14,Coega Village,Wells Estate (Bluewater Bay),Blue Horizon Bay  FBH,Boxes & Shooks  TBS,Gamtoos,Gamtoos Hotel - GHL,Gamtoos Pumps - SGP,Gedultsriver  FGR,Loerie Pumps  SLL,Matjiesfontein - TFM,Nokton Farm  NFL,Rocklands  FCR,St Albans  SAL,Thornhill,Thornhill Farmers  TFM,Thornhill (TFM),Van Stadens Gorge,Vaalkrans  GVK,Van Stadens Gorge  VMW,Walmer 1st Ave Area to 6th Ave,Walmer Boulevard,Weetwood Road Area,Witteklip  FCW,Woodridge  FCW,,,,,,,,,,,,,
