Date,,,,,,"Cycle
Day",Stage,"Group
1","Group
2","Group
3","Group
4","Group
5","Group
6","Group
7","Group
8","Group
9","Group
10","Group
11","Group
12","Group
13","Group
14","Group
15","Group
16","Group
17","Group
18","Group
19",
Thursday 20 Aug,Saturday 01 Aug,Monday 13 Jul,Wednesday 24 Jun,Friday 05 Jun,Sunday 17 May,1,"Stage 1
Stage 2
Stage 3
Stage 4",00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,10:00-12:30,12:00-14:30,14:00-16:30,16:00-18:30,18:00-20:30,20:00-22:30,22:00-00:30,,,,,,,,
,,,,,,,,00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,"00:00-02:30
10:00-12:30","02:00-04:30
12:00-14:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30","12:00-14:30
22:00-00:30",14:00-16:30,16:00-18:30,18:00-20:30,20:00-22:30,22:00-00:30,,,
,,,,,,,,"00:00-02:30
18:00-20:30","02:00-04:30
20:00-22:30","04:00-06:30
22:00-00:30",06:00-08:30,08:00-10:30,"00:00-02:30
10:00-12:30","02:00-04:30
12:00-14:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","00:00-02:30
10:00-12:30
20:00-22:30","02:00-04:30
12:00-14:30
22:00-00:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30","12:00-14:30
22:00-00:30",14:00-16:30,16:00-18:30,
,,,,,,,,"00:00-02:30
18:00-20:30
08:00-10:30","02:00-04:30
20:00-22:30
10:00-12:30","04:00-06:30
22:00-00:30
12:00-14:30","06:00-08:30
14:00-16:30","08:00-10:30
16:00-18:30","00:00-02:30
10:00-12:30
18:00-20:30","02:00-04:30
12:00-14:30
20:00-22:30","04:00-06:30
14:00-16:30
22:00-00:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","00:00-02:30
10:00-12:30
20:00-22:30","02:00-04:30
12:00-14:30
22:00-00:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30
00:00-02:30","12:00-14:30
22:00-00:30
02:00-04:30","14:00-16:30
04:00-06:30","16:00-18:30
06:00-08:30",
Friday 21 Aug,Sunday 02 Aug,Tuesday 14 Jul,Thursday 25 Jun,Saturday 06 Jun,Monday 18 May,2,"Stage 1
Stage 2
Stage 3
Stage 4",14:00-16:30,16:00-18:30,18:00-20:30,20:00-22:30,22:00-00:30,,,,,,,,00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,10:00-12:30,12:00-14:30,
,,,,,,,,"04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30","12:00-14:30
22:00-00:30",14:00-16:30,16:00-18:30,18:00-20:30,20:00-22:30,22:00-00:30,,,00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,"00:00-02:30
10:00-12:30","02:00-04:30
12:00-14:30",
,,,,,,,,"04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","00:00-02:30
10:00-12:30
20:00-22:30","02:00-04:30
12:00-14:30
22:00-00:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30","12:00-14:30
22:00-00:30",14:00-16:30,16:00-18:30,"00:00-02:30
18:00-20:30","02:00-04:30
20:00-22:30","04:00-06:30
22:00-00:30",06:00-08:30,08:00-10:30,"00:00-02:30
10:00-12:30","02:00-04:30
12:00-14:30",
,,,,,,,,"04:00-06:30
14:00-16:30
22:00-00:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","00:00-02:30
10:00-12:30
20:00-22:30","02:00-04:30
12:00-14:30
22:00-00:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30
00:00-02:30","12:00-14:30
22:00-00:30
02:00-04:30","14:00-16:30
04:00-06:30","16:00-18:30
06:00-08:30","00:00-02:30
18:00-20:30
08:00-10:30","02:00-04:30
20:00-22:30
10:00-12:30","04:00-06:30
22:00-00:30
12:00-14:30","06:00-08:30
14:00-16:30","08:00-10:30
16:00-18:30","00:00-02:30
10:00-12:30
18:00-20:30","02:00-04:30
12:00-14:30
20:00-22:30",
Saturday 22 Aug,Monday 03 Aug,Wednesday 15 Jul,Friday 26 Jun,Sunday 07 Jun,Tuesday 19 May,3,"Stage 1
Stage 2
Stage 3
Stage 4",,,,,,00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,10:00-12:30,12:00-14:30,14:00-16:30,16:00-18:30,18:00-20:30,20:00-22:30,22:00-00:30,,,
,,,,,,,,18:00-20:30,20:00-22:30,22:00-00:30,,,00:00-02:30,02:00-04:30,04:00-06:30,06:00-08:30,08:00-10:30,"00:00-02:30
10:00-12:30","02:00-04:30
12:00-14:30","04:00-06:30
14:00-16:30","06:00-08:30
16:00-18:30","08:00-10:30
18:00-20:30","10:00-12:30
20:00-22:30","12:00-14:30
22:00-00:30",14:00-16:30,16:00-18:30,
